"Paper","Total Citations","TC per Year"
"KAMADA H, 2003, NTT TECH REV","5","0.2778"
"GUSEINOV I, 2002, J MOL MODEL-a","5","0.2632"
"WEN QY, 2002, BEIJING YOUDIAN DAXUE XUEBAO","5","0.2632"
"MALYSHEV V, 2002, THEOR COMPUT SCI","5","0.2632"
"GLASSNER A, 2001, IEEE COMPUT GRAPHICS APPL-a-b","5","0.2500"
"BOB P, 1999, NEURAL NETWORK WORLD","5","0.2273"
"LVAREZ P, 1998, INF PROCESS MANAGE","5","0.2174"
"THOMPSON T, 1996, BYTE","5","0.2000"
"TRIFFET T, 1996, MATH COMPUT MODEL","5","0.2000"
"LIANG S, 1995, COMPUT PHYS COMMUN","5","0.1923"
"PAULIAT G, 1987, PROC SPIE INT SOC OPT ENG","5","0.1471"
"ZULEHNER A, 2019, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","4","2.0000"
"ALLEC SI, 2019, J CHEM THEORY COMPUT","4","2.0000"
"MUNOZ-COREAS E, 2019, IEEE TRANS COMPUT","4","2.0000"
"ZULEHNER A, 2019, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST-a","4","2.0000"
"VAZIRANI U, 2019, COMMUN ACM","4","2.0000"
"GALINDO C, 2019, QUANTUM INF PROCESS","4","2.0000"
"HASHEMI S, 2019, J SUPERCOMPUT","4","2.0000"
"DUIVENVOORDEN K, 2019, IEEE TRANS INF THEORY","4","2.0000"
"ALAJMI MS, 2019, J INTELL MANUF","4","2.0000"
"LICATA I, 2019, SYMMETRY","4","2.0000"
"LIU W, 2019, SECUR COMMUN NETWORKS","4","2.0000"
"BLAIR E, 2019, IEEE TRANS NANOTECHNOL","4","2.0000"
"WALTER M, 2019, ACM J EMERG TECHNOLOGIES COMPUT SYST","4","2.0000"
"ILIYASU AM, 2019, IEEE ACCESS","4","2.0000"
"SIVASUBRAMANI S, 2018, IEEE TRANS NANOTECHNOL","4","1.3333"
"VLACHOU C, 2018, QUANTUM INF PROCESS","4","1.3333"
"CAI G, 2018, J COMPUT SYST SCI","4","1.3333"
"YI H, 2018, PERS UBIQUITOUS COMP","4","1.3333"
"SINGH P, 2018, COMPUT SCI ENG","4","1.3333"
"XIE Z, 2018, QUANTUM INF PROCESS","4","1.3333"
"TAN YY, 2018, QUANTUM INF PROCESS","4","1.3333"
"CAO H, 2018, IEEE ACCESS","4","1.3333"
"TANG X, 2018, COMPUT MATER CONTINUA","4","1.3333"
"NISHIDA N, 2018, J LOGICA ALGEBRAIC METHODS PROGRAM","4","1.3333"
"AARONSON S, 2018, SIAM J COMPUT","4","1.3333"
"NEMIROVSKY D, 2018, SUPERCOMPUT FRONT INNOV","4","1.3333"
"CHANDRA D, 2017, IEEE ACCESS","4","1.0000"
"HUANG L, 2017, COMPUT PHYS COMMUN","4","1.0000"
"MLLER M, 2017, ETHICS INF TECHNOL","4","1.0000"
"HAGHPARAST M, 2017, QUANTUM INF PROCESS","4","1.0000"
"FRI R, 2017, FUZZY SETS SYST","4","1.0000"
"SARKAR K, 2017, J COMPUT PHYS","4","1.0000"
"GUO Q, 2017, IEEE ACCESS","4","1.0000"
"PARAG KV, 2017, PLOS COMPUT BIOL","4","1.0000"
"BOTSINIS P, 2017, IEEE ACCESS-a-b","4","1.0000"
"HUANG HL, 2017, QUANTUM INF PROCESS","4","1.0000"
"KIM MD, 2017, QUANTUM INF PROCESS","4","1.0000"
"YUSUF II, 2017, BIG DATA RES","4","1.0000"
"KUSSMANN J, 2017, J CHEM THEORY COMPUT","4","1.0000"
"CHAKRABARTY I, 2017, QUANTUM INF PROCESS","4","1.0000"
"LI K, 2017, INF PROCESS LETT","4","1.0000"
"SONG GZ, 2017, QUANTUM INF PROCESS","4","1.0000"
"ZHOU G, 2017, SECUR COMMUN NETWORKS","4","1.0000"
"RAMESH M, 2017, COMB CHEM HIGH THROUGHPUT SCREEN","4","1.0000"
"TANG J, 2017, INT J HIGH PERFORM COMPUT NETWORKING","4","1.0000"
"CHANDRA D, 2017, IEEE ACCESS-a","4","1.0000"
"LA COUR BR, 2017, QUANTUM INF PROCESS","4","1.0000"
"WRIGHT J, 2016, QUANTUM INF PROCESS","4","0.8000"
"LI PC, 2016, KONGZHI YU JUECE CONTROL DECIS","4","0.8000"
"WU W, 2016, J SYST SCI SYST ENG","4","0.8000"
"BATLE J, 2016, QUANTUM INF PROCESS","4","0.8000"
"LAPTYEVA TV, 2016, COMPUT PHYS COMMUN","4","0.8000"
"MAO S, 2016, CHINA COMMUN","4","0.8000"
"MOHAMMADI M, 2015, QUANTUM INF PROCESS","4","0.6667"
"DA SILVA CP, 2015, J MACH LEARN RES","4","0.6667"
"AYSU A, 2015, ACM TRANS EMBEDDED COMPUT SYST","4","0.6667"
"DU T, 2015, COMPUT INTELL NEUROSCI","4","0.6667"
"MORTON J, 2015, THEOR COMPUT SCI","4","0.6667"
"JIVULESCU MA, 2015, QUANTUM INF COMPUT","4","0.6667"
"ZOUACHE D, 2015, J INF SCI ENG","4","0.6667"
"KOBAYASHI H, 2015, SIAM J COMPUT","4","0.6667"
"NIKAHD E, 2015, MICROPROCESSORS MICROSYST","4","0.6667"
"GILBRETH CN, 2015, COMPUT PHYS COMMUN","4","0.6667"
"BHATTACHARYYA S, 2015, APPL SOFT COMPUT J","4","0.6667"
"THIBAULT JC, 2014, J CHEM INF MODEL","4","0.5714"
"GYONGYOSI L, 2014, IEEE ACCESS","4","0.5714"
"NGUYEN TD, 2014, ACM J EMERG TECHNOLOGIES COMPUT SYST","4","0.5714"
"GAO H, 2014, INT J INNOVATIVE COMPUT APPL","4","0.5714"
"AARONSON S, 2014, THEORY COMPUT SYST","4","0.5714"
"LI Y, 2013, J MOL MODEL","4","0.5000"
"KARABULUT S, 2013, J COMP -AIDED MOL DES","4","0.5000"
"RYU H, 2013, MATH COMPUT MODEL","4","0.5000"
"HEYSE S, 2013, J CRYPTOGRAPHIC ENG","4","0.5000"
"CSERNAI M, 2013, COMPUT NETWORKS","4","0.5000"
"MA T, 2013, KNOWL BASED SYST","4","0.5000"
"MISZCZAK JA, 2013, COMPUT PHYS COMMUN","4","0.5000"
"KHAN MM, 2012, INT J SECUR APPL","4","0.4444"
"LI M, 2012, J COMPUT INF SYST","4","0.4444"
"JIANG S, 2012, INT J DIGIT CONTENT TECHNOL APPL","4","0.4444"
"LI Z, 2012, J COMPUT INF SYST","4","0.4444"
"MUKAI Y, 2012, INT J UNCON COMP","4","0.4444"
"BURIGNAT S, 2012, INT J ELECTRON TELECOMMUN","4","0.4444"
"BLAKEY E, 2011, NAT COMPUT","4","0.4000"
"KUZNETSOVA E, 2011, QUANTUM INF PROCESS","4","0.4000"
"KUCHERA-MORIN J, 2011, LEONARDO","4","0.4000"
"SRIDHARAN S, 2011, SYST CONTROL LETT","4","0.4000"
"MONTANARO A, 2011, THEOR COMPUT SCI","4","0.4000"
"CHAN PY, 2011, J MOL GRAPH MODEL","4","0.4000"
"GOTHANDARAMAN A, 2010, VLSI DES","4","0.3636"
"WAN SS, 2010, JISUANJI XUEBAO","4","0.3636"
"AL-RABADI AN, 2010, IAENG INT J COMPUT SCI","4","0.3636"
"BAKAOUKAS AG, 2009, INT J UNCON COMP","4","0.3333"
"LITVINTSEVA LV, 2009, J COMPUT SYST SCI INT","4","0.3333"
"GOTHANDARAMAN A, 2009, COMPUT PHYS COMMUN","4","0.3333"
"FENG Y, 2009, QUANTUM INF COMPUT","4","0.3333"
"XUE H, 2009, XITONG FANGZHEN XUEBAO","4","0.3333"
"LEE JG, 2008, J MOL GRAPH MODEL","4","0.3077"
"FOUCH W, 2008, THEOR COMPUT SCI","4","0.3077"
"BEAUDRAP ND, 2008, QUANTUM INF COMPUT","4","0.3077"
"PANCHI L, 2008, J SYST ENG ELECTRON-a","4","0.3077"
"MARINESCU DC, 2007, COMPUT J","4","0.2857"
"VASHISHTA P, 2007, COMPUT PHYS COMMUN","4","0.2857"
"MARZUOLI A, 2007, NAT COMPUT","4","0.2857"
"REIF JH, 2007, INF COMPUT","4","0.2857"
"BERNS DM, 2005, QUANTUM INF PROCESS","4","0.2500"
"DYKMAN MI, 2005, QUANTUM INF COMPUT","4","0.2500"
"BENENTI G, 2004, QUANTUM INF PROCESS","4","0.2353"
"KRLOVI R, 2004, THEOR INF APPL","4","0.2353"
"CALUDE CS, 2002, MINDS MACH","4","0.2105"
"BODIN F, 2002, COMPUT PHYS COMMUN","4","0.2105"
"PYTLISKI J, 2002, J COMPUT METHODS SCI ENG","4","0.2105"
"VANDERSYPEN L, 2001, QUANTUM INF COMPUT","4","0.2000"
"CHILLEMI G, 2001, COMPUT PHYS COMMUN","4","0.2000"
"KAWAZOE Y, 2001, J MOL GRAPH MODEL","4","0.2000"
"YANOV I, 2001, J MOL GRAPH MODEL","4","0.2000"
"ROYCHOWDHURY VP, 2001, SIAM J COMPUT","4","0.2000"
"BERTONI A, 2001, VLSI DES","4","0.2000"
"PAHLKE K, 2001, INT J CIRCUIT THEORY APPL","4","0.2000"
"FLOCKE N, 1997, COMPUT PHYS COMMUN","4","0.1667"
"AMOROSO RL, 1995, INF","4","0.1538"
"FUNATSU K, 1994, J CHEM INF COMPUT SCI","4","0.1481"
"SUMAN H, 1994, PARALLEL COMPUT","4","0.1481"
"KNECHT S, 1990, PARALLEL COMPUT","4","0.1290"
"AJAGEKAR A, 2020, COMPUT CHEM ENG","3","3.0000"
"LIU J, 2020, NEUROCOMPUTING","3","3.0000"
"ZHOU Y, 2019, NPJ QUANTUM INF","3","1.5000"
"GHOSH S, 2019, NPJ QUANTUM INF","3","1.5000"
"OTTEN M, 2019, NPJ QUANTUM INF","3","1.5000"
"MAHDI FP, 2019, NEURAL COMPUT APPL","3","1.5000"
"WAIDYASOORIYA HM, 2019, J SUPERCOMPUT","3","1.5000"
"KUSIAK A, 2019, J MANUF SYST","3","1.5000"
"SAYED GI, 2019, NEURAL COMPUT APPL","3","1.5000"
"AIK LE, 2019, IAES INT J ARTIF INTELL","3","1.5000"
"DEGREGORIO N, 2019, J CHEM THEORY COMPUT","3","1.5000"
"SASIKALA C, 2019, NEURAL COMPUT APPL","3","1.5000"
"VISSERS G, 2019, QUANTUM INF PROCESS","3","1.5000"
"RASKI PT, 2019, COMPUT PHYS COMMUN","3","1.5000"
"PATEL OP, 2019, SOFT COMPUT","3","1.5000"
"DATE P, 2019, QUANTUM INF PROCESS","3","1.5000"
"GALINDO C, 2019, IEEE TRANS INF THEORY","3","1.5000"
"ZHOU L, 2019, INF SCI","3","1.5000"
"KOVAL P, 2019, COMPUT PHYS COMMUN","3","1.5000"
"CHAPUIS G, 2019, J SIGNAL PROCESS SYST","3","1.5000"
"CHEHAIBOU B, 2019, J CHEM THEORY COMPUT","3","1.5000"
"NDAGANO B, 2019, APL PHOTONICS","3","1.5000"
"GEREMIA KL, 2019, J MOL MODEL","3","1.5000"
"DOU JP, 2018, NPJ QUANTUM INF","3","1.0000"
"MAIRE J, 2018, APL PHOTONICS","3","1.0000"
"CLARK MA, 2018, COMPUT PHYS COMMUN","3","1.0000"
"KUMAR J, 2018, IEEE SYST J","3","1.0000"
"BITTERLI B, 2018, ACM TRANS GRAPHICS","3","1.0000"
"MAHMOUD MY, 2018, ELECTRON NOTES THEOR COMPUT SCI","3","1.0000"
"SONG Y, 2018, APPL SCI","3","1.0000"
"ARUNACHALAM S, 2018, J MACH LEARN RES","3","1.0000"
"NESTERENKO DV, 2018, COMPUT OPT","3","1.0000"
"YI H, 2018, FUTURE GENER COMPUT SYST","3","1.0000"
"GATTI LN, 2018, QUANTUM INF PROCESS","3","1.0000"
"KEINAN S, 2018, COMPUT SCI ENG","3","1.0000"
"CHENG X, 2018, QUANTUM INF PROCESS","3","1.0000"
"MASLOV D, 2018, IEEE TRANS INF THEORY","3","1.0000"
"DAWSON W, 2018, COMPUT PHYS COMMUN","3","1.0000"
"LIU J, 2018, CHINA COMMUN","3","1.0000"
"BARMAN S, 2018, IEEE TRANS INF THEORY","3","1.0000"
"SINGAMANENI KK, 2018, ING SYST INF","3","1.0000"
"TAHA SMR, 2018, INT J COMPUT APPL TECHNOL","3","1.0000"
"XIAO D, 2018, SECUR COMMUN NETWORKS","3","1.0000"
"GALOFARO F, 2018, KYBERNETES","3","1.0000"
"IKONEN J, 2017, NPJ QUANTUM INF","3","0.7500"
"HASSAN YF, 2017, J EXP THEOR ARTIF INTELL","3","0.7500"
"ABDEL-REHIM A, 2017, COMPUT PHYS COMMUN","3","0.7500"
"ARYANI NK, 2017, INT J ELECTR COMPUT ENG","3","0.7500"
"MUOZ-SANTIBURCIO D, 2017, COMPUT PHYS COMMUN","3","0.7500"
"BANNOW LC, 2017, MODELL SIMUL MATER SCI ENG","3","0.7500"
"WIEBE N, 2017, QUANTUM INF COMPUT","3","0.7500"
"FRIGORI RB, 2017, COMPUT PHYS COMMUN","3","0.7500"
"NOCITO D, 2017, J CHEM THEORY COMPUT","3","0.7500"
"EL-SEOUD SA, 2017, INT J INTERACT MOB TECHNOL","3","0.7500"
"BARN B, 2016, ELECTRON NOTES THEOR COMPUT SCI","3","0.6000"
"JAIN R, 2016, ALGORITHMICA","3","0.6000"
"TANG D, 2016, NEURAL COMPUT APPL","3","0.6000"
"AYSU A, 2016, IEEE TRANS COMPUT","3","0.6000"
"SOLENOV D, 2016, QUANTUM INF COMPUT","3","0.6000"
"TABAKIN F, 2016, COMPUT PHYS COMMUN","3","0.6000"
"YAKARYILMAZ A, 2016, INT J FOUND COMPUT SCI","3","0.6000"
"BUN M, 2016, THEORY COMPUT","3","0.6000"
"MIHAILA M, 2016, ROM J INF SCI TECHNOL","3","0.6000"
"SARDANA M, 2016, INT J KNOWLEDGE-BASED INTELL ENG SYST","3","0.6000"
"BOCHAROV A, 2016, QUANTUM INF COMPUT","3","0.6000"
"VAN DER HELM PA, 2015, ARTIF INTELL REV","3","0.5000"
"BERA D, 2015, QUANTUM INF PROCESS","3","0.5000"
"DI YM, 2015, QUANTUM INF PROCESS","3","0.5000"
"SERRAT C, 2015, APPL SCI","3","0.5000"
"MORIMAE T, 2015, QUANTUM INF COMPUT-a","3","0.5000"
"SUNDANI D, 2015, J THEOR APPL INF TECHNOL","3","0.5000"
"ZHANG L, 2015, KONGZHI YU JUECE CONTROL DECIS","3","0.5000"
"MUTIARA AB, 2015, J THEOR APPL INF TECHNOL","3","0.5000"
"LEE J, 2014, INF SCI","3","0.4286"
"GORDON DF, 2014, J COMPUT PHYS","3","0.4286"
"WEI HR, 2014, QUANTUM INF PROCESS","3","0.4286"
"FESENKO AV, 2014, CYBERN SYST ANAL","3","0.4286"
"SHOYDIN SA, 2014, OPT MEM NEURAL NETW (INF OPT )","3","0.4286"
"QU R, 2014, QUANTUM INF PROCESS","3","0.4286"
"CHEN HW, 2014, JISUANJI XUEBAO","3","0.4286"
"NAYEBI A, 2014, MINDS MACH","3","0.4286"
"ITO T, 2014, INF PROCESS LETT","3","0.4286"
"YANG W, 2014, COMPEL INT J COMPUT MATH ELECTR ELECTRON ENG","3","0.4286"
"GODHAVARI T, 2013, RES J APPL SCI ENG TECHNOL","3","0.3750"
"SAITOH A, 2013, COMPUT PHYS COMMUN","3","0.3750"
"GUEDES EB, 2013, MATH STRUCT COMPUT SCI","3","0.3750"
"WITTEK P, 2013, COMPUT PHYS COMMUN","3","0.3750"
"GHARIBI M, 2013, QUANTUM INF COMPUT","3","0.3750"
"SUDHEER CD, 2013, COMPUT PHYS COMMUN","3","0.3750"
"LIU S, 2013, J COMPUT","3","0.3750"
"NARUSE M, 2013, IEICE TRANS COMMUN","3","0.3750"
"ARASU KT, 2013, CRYPTOGRAPHY COMMUN","3","0.3750"
"CHAPPELL JM, 2013, QUANTUM INF PROCESS","3","0.3750"
"GISIN N, 2013, NAT COMPUT","3","0.3750"
"AMOS M, 2012, INT J UNCON COMP","3","0.3333"
"SHIRI M, 2012, RES J APPL SCI ENG TECHNOL","3","0.3333"
"BERG BA, 2012, COMPUT PHYS COMMUN","3","0.3333"
"JABLAN S, 2012, COMPUT MATH APPL","3","0.3333"
"IVANYOS G, 2012, QUANTUM INF COMPUT","3","0.3333"
"ZHANG Y, 2012, QUANTUM INF PROCESS","3","0.3333"
"XING W, 2012, INT J MOL SCI","3","0.3333"
"LI PC, 2012, KONGZHI YU JUECE CONTROL DECIS","3","0.3333"
"UTZ A, 2011, COMPUT SCI ENG","3","0.3000"
"AWADALLAH AA, 2011, INT J NANOSCI","3","0.3000"
"HAGHPARAST M, 2011, INT REV COMPUT SOFTW","3","0.3000"
"FANG W, 2011, JISUANJI YANJIU YU FAZHAN","3","0.3000"
"LI R, 2010, QUANTUM INF COMPUT","3","0.2727"
"GIUNTINI R, 2010, J LOGIC COMPUT","3","0.2727"
"MOORE C, 2010, SIAM J COMPUT","3","0.2727"
"AGUDELO JC, 2010, J LOGIC COMPUT","3","0.2727"
"HINES P, 2010, THEOR COMPUT SCI","3","0.2727"
"CARAIMAN S, 2010, INT J COMPUT COMMUN CONTROL","3","0.2727"
"TAFLIOVICH A, 2009, ELECTRON NOTES THEOR COMPUT SCI","3","0.2500"
"WANG H, 2009, J SYST ENG ELECTRON","3","0.2500"
"CHUANG C, 2009, J MOL GRAPH MODEL","3","0.2500"
"VLACHOS P, 2009, COMPUT PHYS COMMUN","3","0.2500"
"BHARADWAJ V, 2009, J PARALLEL DISTRIB COMPUT","3","0.2500"
"FRIEDL K, 2009, FUNDAM INF","3","0.2500"
"DAS M, 2009, J MOL GRAPH MODEL","3","0.2500"
"VLACHOS P, 2009, COMPUT PHYS COMMUN-a","3","0.2500"
"LI Z, 2008, JISUANJI YANJIU YU FAZHAN","3","0.2308"
"RIERA C, 2008, DES CODES CRYPTOGRAPHY","3","0.2308"
"GERDT VP, 2008, PROGRAM COMPUT SOFTW","3","0.2308"
"LU Q, 2008, XITONG GONGCHENG LILUM YU SHIJIAN","3","0.2308"
"GOWIN M, 2006, QUANTUM INF PROCESS","3","0.2000"
"LIU L, 2006, INF COMPUT","3","0.2000"
"SHEN SH, 2005, MOSHI SHIBIE YU RENGONG ZHINENG","3","0.1875"
"FRANK MP, 2005, QUANTUM INF PROCESS","3","0.1875"
"JOACHIM C, 2005, INT J NANOSCI","3","0.1875"
"FORTUNA L, 2004, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","3","0.1765"
"IMRE S, 2004, COMPUT VIENNA NEW YORK","3","0.1765"
"HWANG TM, 2004, MATH COMPUT MODEL","3","0.1765"
"SAMOILENKO AM, 2004, MATH COMPUT SIMUL","3","0.1765"
"DENG Y, 2004, INT J HIGH PERFORM COMPUT APPL","3","0.1765"
"MACDONALD DA, 2002, J CHEM INF COMPUT SCI","3","0.1579"
"FREEDMAN MH, 2002, FOUND COMPUT MATH","3","0.1579"
"GONZ LEZ-LEBRERO MC, 2001, J MOL MODEL","3","0.1500"
"MAHLER G, 2001, INT J CIRCUIT THEORY APPL","3","0.1500"
"KAK S, 2000, INF SCI-a","3","0.1429"
"MOREL B, 2000, NEUROCOMPUTING","3","0.1429"
"GRACEY JA, 1998, COMPUT PHYS COMMUN","3","0.1304"
"WULF U, 1998, COMPUT MATER SCI","3","0.1304"
"LIANG GC, 1998, VLSI DES","3","0.1304"
"HARBURY HK, 1998, VLSI DES","3","0.1304"
"STONEHAM AM, 1989, J COMPUTER-AIDED MOL DES","3","0.0938"
"VICHNEVETSKY R, 1989, INT J NUMER METHODS FLUIDS","3","0.0938"
"WIMMER E, 1988, J COMPUTER-AIDED MOL DES","3","0.0909"
"LI R, 2020, IEEE TRANS PARALLEL DISTRIB SYST","2","2.0000"
"ZHAO YW, 2020, KONGZHI YU JUECE CONTROL DECIS","2","2.0000"
"FERNANDEZ-CARAMES TM, 2020, IEEE ACCESS","2","2.0000"
"GONG J, 2020, OPT MATER","2","2.0000"
"LI HS, 2019, INF SCI","2","1.0000"
"MAHMOUD MY, 2019, J AUTOM REASONING","2","1.0000"
"PAOLINI L, 2019, J AUTOM REASONING","2","1.0000"
"KIM M, 2019, COMPUT PHYS COMMUN","2","1.0000"
"BHATIA M, 2019, COMPUT IND","2","1.0000"
"EL KASSEM N, 2019, FUTURE GENER COMPUT SYST","2","1.0000"
"KHN M, 2019, J CHEM THEORY COMPUT","2","1.0000"
"A K, 2019, MICROPROCESSORS MICROSYST","2","1.0000"
"BISTAFA C, 2019, J CHEM THEORY COMPUT","2","1.0000"
"THAKRAL S, 2019, INT J ENG ADV TECHNOL","2","1.0000"
"HOU J, 2019, J INF SECUR APPL","2","1.0000"
"DINNEEN MJ, 2019, J SUPERCOMPUT","2","1.0000"
"MELUCCI M, 2019, IEEE TRANS KNOWL DATA ENG","2","1.0000"
"DJEMAME S, 2019, SOFT COMPUT","2","1.0000"
"DE PAULA NETO FM, 2019, NEUROCOMPUTING","2","1.0000"
"SHIMOJO F, 2019, SOFTWAREX","2","1.0000"
"GRIGORYAN AM, 2019, QUANTUM INF PROCESS","2","1.0000"
"CHEN J, 2019, QUANTUM INF PROCESS","2","1.0000"
"ZHANG J, 2019, IEEE TRANS CYBERN","2","1.0000"
"ELLIOTT JD, 2019, J CHEM THEORY COMPUT","2","1.0000"
"EBRAHIMI S, 2019, IEEE INTERNET THINGS J","2","1.0000"
"PANDEY D, 2019, APPL SCI","2","1.0000"
"GULBAHAR B, 2019, QUANTUM INF PROCESS","2","1.0000"
"ABADI E, 2019, IEEE TRANS MED IMAGING","2","1.0000"
"SAEED SM, 2019, ACM J EMERG TECHNOLOGIES COMPUT SYST","2","1.0000"
"HU Y, 2019, INT J NUMER MODELL ELECTRON NETWORKS DEVICES FIELDS","2","1.0000"
"MARBANIANG L, 2019, J CIRCUITS SYST COMPUT","2","1.0000"
"AHVANOOEY MT, 2019, KSII TRANS INTERNET INF SYST","2","1.0000"
"BOAKYE-BOATENG K, 2019, IEEE INTERNET THINGS J","2","1.0000"
"MORIMAE T, 2019, QUANTUM INF COMPUT","2","1.0000"
"WARREN RH, 2019, QUANTUM INF COMPUT","2","1.0000"
"KAUFFMAN LH, 2019, QUANTUM INF PROCESS","2","1.0000"
"LI Y, 2019, QUANTUM INF COMPUT","2","1.0000"
"YAO Y, 2019, IEEE ACCESS","2","1.0000"
"LI C, 2019, COMPUT MATER CONTINUA","2","1.0000"
"JEBASEELI KK, 2019, J ADV RES DYN CONTROL SYST","2","1.0000"
"MILLER B, 2019, ACM TRANS GRAPHICS","2","1.0000"
"ESHACK A, 2019, INDONES J ELECTRICAL ENG COMPUT SCI","2","1.0000"
"LEI T, 2019, J CHEM THEORY COMPUT","2","1.0000"
"PANAHI MM, 2019, IETE J RES","2","1.0000"
"YANG Y, 2019, IEEE ACCESS","2","1.0000"
"WANG Z, 2018, JISUANJI JICHENG ZHIZAO XITONG","2","0.6667"
"PLANAT M, 2018, SYMMETRY","2","0.6667"
"LI Y, 2018, NPJ QUANTUM INF","2","0.6667"
"SINGH A, 2018, QUANTUM INF PROCESS","2","0.6667"
"EVIK A, 2018, SYMMETRY","2","0.6667"
"WANG X, 2018, APL PHOTONICS","2","0.6667"
"BISHWAS AK, 2018, QUANTUM INF PROCESS","2","0.6667"
"QIU L, 2018, SOFT COMPUT","2","0.6667"
"SAMANTA PK, 2018, J MOL MODEL","2","0.6667"
"DANG Y, 2018, QUANTUM INF PROCESS","2","0.6667"
"SI M, 2018, IEEE TRANS PARALLEL DISTRIB SYST","2","0.6667"
"EL ZANT S, 2018, IEEE ACCESS","2","0.6667"
"KAUFFMAN LH, 2018, QUANTUM INF PROCESS","2","0.6667"
"KULKARNI A, 2018, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","2","0.6667"
"BANDYOPADHYAY C, 2018, IET COMPUT DIGITAL TECH","2","0.6667"
"PORTUGAL R, 2018, QUANTUM INF PROCESS","2","0.6667"
"FOWLIE A, 2018, COMPUT PHYS COMMUN","2","0.6667"
"CHATURVEDI A, 2018, QUANTUM INF PROCESS","2","0.6667"
"YURTOGLU M, 2018, J COMPUT INF SCI ENG","2","0.6667"
"CAMACHO-MENDOZA RL, 2018, MOL DIVERSITY","2","0.6667"
"KREUZER E, 2018, AUTON ROBOTS","2","0.6667"
"ZHAO C, 2018, IEEE J BIOMEDICAL HEALTH INFORMAT","2","0.6667"
"WANG X, 2018, IEEE TRANS INF THEORY","2","0.6667"
"DONG Z, 2018, INT J ADAPT CONTROL SIGNAL PROCESS","2","0.6667"
"BERA D, 2018, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","2","0.6667"
"RASOOL A, 2018, J ADV RES DYN CONTROL SYST","2","0.6667"
"BANERJEE S, 2018, AUTOM CONTROL COMPUT SCI","2","0.6667"
"PRAVEENA M, 2018, J ADV RES DYN CONTROL SYST","2","0.6667"
"CHAKRABORTY S, 2018, INTELLIGENT DECIS TECHNOL","2","0.6667"
"JAFARIZADEH S, 2017, IEEE TRANS AUTOM CONTROL","2","0.5000"
"HU Y, 2017, NPJ QUANTUM INF","2","0.5000"
"MIRANDA S, 2017, INT J HIGH PERFORM COMPUT APPL","2","0.5000"
"SAFOEV N, 2017, ADV SCI LETT","2","0.5000"
"HOWARTH D, 2017, INT J MOD PHYS C","2","0.5000"
"BOYER M, 2017, SOFT COMPUT","2","0.5000"
"LIU MM, 2017, FRONT INF TECHNOL ELECTR ENG","2","0.5000"
"GAJBHIYE S, 2017, J INF SECUR APPL","2","0.5000"
"IBRAHIM KZ, 2017, J PARALLEL DISTRIB COMPUT","2","0.5000"
"GHILEN A, 2017, WIRELESS PERS COMMUN","2","0.5000"
"AUMASSON JP, 2017, COMPUT FRAUD SECUR","2","0.5000"
"SOLENOV D, 2017, QUANTUM INF COMPUT","2","0.5000"
"SPRENGEL M, 2017, COMPUT PHYS COMMUN","2","0.5000"
"DIAO M, 2017, INT J COMPUT SCI MATH","2","0.5000"
"BISWAS PK, 2017, INT J GRID DISTRIB COMPUT","2","0.5000"
"MULHOLLAND J, 2017, IEEE SECUR PRIVACY","2","0.5000"
"CHEN L, 2017, IEEE SECUR PRIVACY","2","0.5000"
"BOLHASSANI A, 2017, TURK J ELECTR ENG COMPUT SCI","2","0.5000"
"ZHANG Y, 2016, JISUANJI JICHENG ZHIZAO XITONG","2","0.4000"
"ZOMORODI-MOGHADAM M, 2016, J CIRCUITS SYST COMPUT","2","0.4000"
"LIN GD, 2016, QUANTUM INF PROCESS","2","0.4000"
"ARSHAD J, 2016, J CHEMINFORMATICS","2","0.4000"
"REISER R, 2016, ELECTRON NOTES THEOR COMPUT SCI","2","0.4000"
"FEITOSA SS, 2016, ELECTRON NOTES THEOR COMPUT SCI","2","0.4000"
"RANJBAR M, 2016, QUANTUM INF PROCESS","2","0.4000"
"LABAIR M, 2016, INT J MOD PHYS C","2","0.4000"
"POMERANTSEV VN, 2016, COMPUT PHYS COMMUN","2","0.4000"
"TAN X, 2016, CONCURR COMPUT","2","0.4000"
"LI PC, 2016, KONGZHI YU JUECE CONTROL DECIS-a","2","0.4000"
"AKL SG, 2016, INT J PARALLEL EMERGENT DISTRIB SYST","2","0.4000"
"MOZAFFARI A, 2016, J EXP THEOR ARTIF INTELL","2","0.4000"
"MAHDIAN M, 2016, QUANTUM INF PROCESS","2","0.4000"
"LOMONACO SJ, 2016, QUANTUM INF PROCESS","2","0.4000"
"XIAO H, 2016, INF CONTROL","2","0.4000"
"SMITH E, 2016, J INST TELECOMMUN PROF","2","0.4000"
"BOUSSALIA SR, 2016, INT J INTELL SYST TECHNOL APPL","2","0.4000"
"DU CB, 2015, INT J REASONING BASED INTELL SYST","2","0.3333"
"CHEN Q, 2015, J COMPUT PHYS","2","0.3333"
"KIRKE AJ, 2015, INT J UNCON COMP","2","0.3333"
